iter	Logloss	Accuracy
101	0.435192692	0.8391451069
102	0.4339453874	0.8413948256
103	0.433085077	0.8413948256
104	0.4322774826	0.8413948256
105	0.4314862734	0.8413948256
106	0.430628175	0.8413948256
107	0.4298552977	0.8413948256
108	0.4287115669	0.8413948256
109	0.4279471071	0.8413948256
110	0.4276354905	0.842519685
111	0.4266979456	0.842519685
112	0.4259352799	0.842519685
113	0.4250668011	0.842519685
114	0.4248201017	0.842519685
115	0.4239468866	0.842519685
116	0.4229210116	0.842519685
117	0.4220569325	0.842519685
118	0.4212277505	0.842519685
119	0.4204407705	0.842519685
120	0.4198127613	0.842519685
121	0.4195506664	0.842519685
122	0.4184203744	0.842519685
123	0.4179492343	0.842519685
124	0.4173928637	0.842519685
125	0.4167287036	0.842519685
126	0.4162613789	0.842519685
127	0.4156920888	0.842519685
128	0.4150730348	0.842519685
129	0.4144964315	0.842519685
130	0.4138890957	0.842519685
131	0.4131921625	0.842519685
132	0.4127584826	0.842519685
133	0.4125639794	0.842519685
134	0.4117950188	0.842519685
135	0.4114732087	0.842519685
136	0.4107560626	0.842519685
137	0.4101701435	0.842519685
138	0.4097969946	0.842519685
139	0.4093370132	0.842519685
140	0.4087448	0.842519685
141	0.4082291778	0.842519685
142	0.4074879743	0.842519685
143	0.4069256532	0.842519685
144	0.4062425025	0.842519685
145	0.4057223644	0.842519685
146	0.4051558276	0.842519685
147	0.4046029761	0.842519685
148	0.4040275621	0.842519685
149	0.4034738359	0.842519685
150	0.4030335806	0.842519685
151	0.4024960454	0.842519685
152	0.4014898025	0.842519685
153	0.4010924107	0.8436445444
154	0.4003603908	0.8436445444
155	0.399668311	0.8436445444
156	0.3990702136	0.8436445444
157	0.3986119861	0.8436445444
158	0.398283776	0.8436445444
159	0.3978979697	0.8436445444
160	0.3970608325	0.8436445444
161	0.396348227	0.842519685
162	0.3955266563	0.842519685
163	0.394981641	0.842519685
164	0.3948771053	0.8436445444
165	0.3940694977	0.8458942632
166	0.3935560442	0.8447694038
167	0.3930443625	0.8458942632
168	0.3926141797	0.8458942632
169	0.3920183343	0.8458942632
170	0.3913799554	0.8458942632
171	0.3909280424	0.8458942632
172	0.3904792266	0.8458942632
173	0.3902513141	0.8458942632
174	0.3894237787	0.8470191226
175	0.3891926523	0.8470191226
176	0.3890467088	0.8470191226
177	0.3886422159	0.8470191226
178	0.3882134429	0.8470191226
179	0.3876628693	0.8470191226
180	0.3874314331	0.8470191226
181	0.3873504278	0.8470191226
182	0.3868860575	0.8470191226
183	0.3864118935	0.8470191226
184	0.3859744801	0.8470191226
185	0.3855752787	0.8470191226
186	0.3853294215	0.8470191226
187	0.3849258578	0.848143982
188	0.3844614071	0.848143982
189	0.3841939882	0.848143982
190	0.3836997808	0.848143982
191	0.3834184121	0.8492688414
192	0.3830076656	0.8492688414
193	0.3822503434	0.8492688414
194	0.3816280095	0.8503937008
195	0.38110324	0.8503937008
196	0.3806114129	0.8515185602
197	0.3802534894	0.8503937008
198	0.3799826063	0.8503937008
199	0.3795662379	0.8515185602
200	0.3788880402	0.8526434196
201	0.3785663019	0.8526434196
202	0.3780671609	0.8526434196
203	0.3778086687	0.8526434196
204	0.3774729404	0.8526434196
205	0.3772112942	0.853768279
206	0.3769562668	0.8548931384
207	0.3766558943	0.853768279
208	0.3761704159	0.853768279
209	0.3755192375	0.8548931384
210	0.3750409857	0.8548931384
211	0.3746182236	0.8548931384
212	0.3743801772	0.8548931384
213	0.3740893391	0.8548931384
214	0.3738053354	0.8548931384
215	0.373626234	0.8548931384
216	0.3733619414	0.8548931384
217	0.3732918554	0.8560179978
218	0.3728983641	0.8560179978
219	0.3725915914	0.8548931384
220	0.3719835183	0.8560179978
221	0.3717568104	0.8560179978
222	0.3714983637	0.8560179978
223	0.3711948606	0.8548931384
224	0.3707118029	0.8548931384
225	0.370460383	0.8548931384
226	0.3698059442	0.8548931384
227	0.3695286256	0.8548931384
228	0.3692874569	0.8548931384
229	0.3690428739	0.8548931384
230	0.3685946929	0.8548931384
231	0.3682954191	0.8548931384
232	0.3680541693	0.8548931384
233	0.367619605	0.8548931384
234	0.367327471	0.8560179978
235	0.3668376885	0.8548931384
236	0.3666373152	0.8548931384
237	0.366438522	0.8560179978
238	0.3664083899	0.8560179978
239	0.3662871699	0.8560179978
240	0.3661570064	0.8560179978
241	0.3658730716	0.8548931384
242	0.3657594039	0.8560179978
243	0.3656237032	0.8560179978
244	0.3654501994	0.8560179978
245	0.3651168549	0.8548931384
246	0.3647026579	0.8560179978
247	0.3645398656	0.8571428571
248	0.3645270609	0.8571428571
249	0.3642673209	0.8571428571
250	0.3640385586	0.8571428571
251	0.3638952571	0.8571428571
252	0.3637072936	0.8571428571
253	0.3634384538	0.8571428571
254	0.3628854499	0.8571428571
255	0.3627755519	0.8582677165
256	0.3625278713	0.8571428571
257	0.3622154244	0.8582677165
258	0.3619553565	0.8582677165
259	0.3617433085	0.8582677165
260	0.36150397	0.8582677165
261	0.3612137845	0.8593925759
262	0.3611463795	0.8593925759
263	0.3609316052	0.8593925759
264	0.3609155358	0.8593925759
265	0.3604806081	0.8593925759
266	0.3604789316	0.8593925759
267	0.3602024475	0.8593925759
268	0.3599214865	0.8593925759
269	0.3597228909	0.8593925759
270	0.3593507449	0.8593925759
271	0.3592025722	0.8593925759
272	0.3589192592	0.8605174353
273	0.3586237852	0.8605174353
274	0.3583719546	0.8605174353
275	0.3578385006	0.8616422947
276	0.3575450559	0.8616422947
277	0.3572692522	0.8616422947
278	0.3568494025	0.8627671541
279	0.3565990469	0.8627671541
280	0.3564739838	0.8616422947
281	0.356362234	0.8605174353
282	0.3561544907	0.8616422947
283	0.3557206024	0.8627671541
284	0.3555008074	0.8627671541
285	0.3551970596	0.8627671541
286	0.3551949081	0.8627671541
287	0.3549955303	0.8627671541
288	0.3548048314	0.8627671541
289	0.3547805496	0.8627671541
290	0.3544266111	0.8627671541
291	0.3543168658	0.8627671541
292	0.3540423755	0.8638920135
293	0.3537971614	0.8650168729
294	0.3535797986	0.8650168729
295	0.3533308722	0.8650168729
296	0.3531474577	0.8650168729
297	0.3529936041	0.8650168729
298	0.3527283516	0.8650168729
299	0.3524461346	0.8661417323
300	0.3522925806	0.8661417323
301	0.3520978475	0.8661417323
302	0.3519540009	0.8661417323
303	0.3515820633	0.8683914511
304	0.3511840933	0.8683914511
305	0.3507969827	0.8683914511
306	0.3503306675	0.8683914511
307	0.3501205098	0.8683914511
308	0.3499209958	0.8683914511
309	0.3497030104	0.8683914511
310	0.3495145	0.8683914511
311	0.3493837687	0.8683914511
312	0.3492258151	0.8683914511
313	0.3490563472	0.8683914511
314	0.3487715923	0.8683914511
315	0.3487712101	0.8683914511
316	0.3483590205	0.8683914511
317	0.3482190027	0.8683914511
318	0.3477572204	0.8683914511
319	0.3474592889	0.8683914511
320	0.3472167985	0.8683914511
321	0.3470023199	0.8683914511
322	0.3469400501	0.8683914511
323	0.3467075279	0.8695163105
324	0.3465033486	0.8695163105
325	0.346308269	0.8695163105
326	0.346035775	0.8706411699
327	0.345880137	0.8706411699
328	0.3454871452	0.8706411699
329	0.3453254283	0.8706411699
330	0.3450742994	0.8706411699
331	0.3449378218	0.8706411699
332	0.3447823103	0.8706411699
333	0.3443947194	0.8706411699
334	0.3443045664	0.8706411699
335	0.3440143789	0.8706411699
336	0.3436916159	0.8706411699
337	0.3434881589	0.8706411699
338	0.3433161726	0.8706411699
339	0.3430376548	0.8728908886
340	0.3426098501	0.8728908886
341	0.3426094754	0.8728908886
342	0.3422445828	0.8728908886
343	0.3421322089	0.8728908886
344	0.3420304282	0.8728908886
345	0.3418052864	0.8728908886
346	0.3415678104	0.8728908886
347	0.341443936	0.8728908886
348	0.3413717382	0.8728908886
349	0.3411571949	0.8728908886
350	0.340923263	0.8728908886
351	0.340855043	0.8728908886
352	0.3405681162	0.8728908886
353	0.3403193262	0.8728908886
354	0.3401192222	0.8728908886
355	0.339941283	0.8728908886
356	0.3397957505	0.8728908886
357	0.3397926617	0.8728908886
358	0.339510411	0.8728908886
359	0.3394053096	0.8728908886
360	0.3391577093	0.8728908886
361	0.3391076214	0.8728908886
362	0.3389333193	0.8728908886
363	0.3387260204	0.8728908886
364	0.3384820226	0.8728908886
365	0.3382153992	0.874015748
366	0.3378696745	0.874015748
367	0.3378139059	0.8728908886
368	0.3376681932	0.874015748
369	0.3375866993	0.874015748
370	0.3370686026	0.874015748
371	0.3368526829	0.874015748
372	0.336408127	0.8751406074
373	0.3361044468	0.874015748
374	0.3359949074	0.874015748
375	0.3357828473	0.8751406074
376	0.3354790069	0.8751406074
377	0.3351167976	0.874015748
378	0.3350300945	0.8751406074
379	0.3348660601	0.8751406074
380	0.3346558967	0.8751406074
381	0.3343780944	0.8751406074
382	0.3341107407	0.874015748
383	0.3341012483	0.874015748
384	0.3339859173	0.8751406074
385	0.3336380828	0.8773903262
386	0.3333982125	0.8773903262
387	0.3333797765	0.8773903262
388	0.3332857346	0.8762654668
389	0.3331775705	0.8762654668
390	0.3331775536	0.8762654668
391	0.3330401269	0.8773903262
392	0.3330098038	0.8773903262
393	0.3330048967	0.8773903262
394	0.3326606093	0.8773903262
395	0.3326579685	0.8773903262
396	0.3325543524	0.8773903262
397	0.33229124	0.8773903262
398	0.3321171338	0.8773903262
399	0.3319596239	0.8773903262
400	0.3317585627	0.8773903262
401	0.3315841223	0.8773903262
402	0.3314031679	0.8773903262
403	0.3312567574	0.8773903262
404	0.3312567565	0.8773903262
405	0.3310970442	0.8773903262
406	0.3309227899	0.8773903262
407	0.3307486561	0.8773903262
408	0.3306911076	0.8785151856
409	0.3306858424	0.8785151856
410	0.3306152973	0.879640045
411	0.3306150519	0.879640045
412	0.3303746013	0.879640045
413	0.3301775542	0.879640045
414	0.330072469	0.879640045
415	0.3299608345	0.8785151856
416	0.3297872986	0.8785151856
417	0.3297865161	0.8785151856
418	0.3296788416	0.879640045
419	0.3296303777	0.879640045
420	0.3294730266	0.879640045
421	0.3291885901	0.879640045
422	0.3291837671	0.879640045
423	0.3290520819	0.8807649044
424	0.3289529028	0.8807649044
425	0.328947724	0.8807649044
426	0.3289473268	0.8807649044
427	0.3285892905	0.8807649044
428	0.3284986126	0.8807649044
429	0.328306041	0.8807649044
430	0.3283060407	0.8807649044
431	0.3281339558	0.8807649044
432	0.3280251388	0.8807649044
433	0.3279397694	0.879640045
434	0.3275398743	0.879640045
435	0.3272587289	0.8785151856
436	0.327069026	0.8785151856
437	0.3270440641	0.8785151856
438	0.326955642	0.8785151856
439	0.3267572318	0.8785151856
440	0.3265613065	0.8785151856
441	0.3264999808	0.8785151856
442	0.3260390296	0.8785151856
443	0.3258149316	0.8785151856
444	0.325354924	0.8785151856
445	0.3251435351	0.879640045
446	0.3249862072	0.879640045
447	0.3247913616	0.879640045
448	0.3245590915	0.879640045
449	0.324460752	0.879640045
450	0.3244558117	0.879640045
451	0.3243718053	0.879640045
452	0.3241590213	0.879640045
453	0.3238311823	0.879640045
454	0.3237046681	0.879640045
455	0.3234860181	0.879640045
456	0.3233540623	0.8807649044
457	0.3231476448	0.879640045
458	0.3228290309	0.879640045
459	0.3226887283	0.8818897638
460	0.3224956451	0.8830146232
461	0.322269644	0.8830146232
462	0.322232985	0.8830146232
463	0.3219532363	0.8830146232
464	0.3218391485	0.8830146232
465	0.3217516082	0.8830146232
466	0.3215890438	0.8830146232
467	0.3212690186	0.8830146232
468	0.3210066972	0.8830146232
469	0.320852569	0.8830146232
470	0.3206116007	0.8830146232
471	0.3204578991	0.8830146232
472	0.3202747436	0.8830146232
473	0.320091833	0.8830146232
474	0.3198730922	0.8830146232
475	0.3198389028	0.8830146232
476	0.3195781481	0.8830146232
477	0.3194069724	0.8830146232
478	0.3192443527	0.8818897638
479	0.3190232822	0.8830146232
480	0.3189531234	0.8830146232
481	0.3187844423	0.8830146232
482	0.3184789342	0.885264342
483	0.3184740955	0.8841394826
484	0.3182859141	0.885264342
485	0.3181900661	0.8841394826
486	0.3180688851	0.885264342
487	0.3179577841	0.8841394826
488	0.3177961148	0.885264342
489	0.3175166368	0.8841394826
490	0.317412756	0.885264342
491	0.3172535218	0.885264342
492	0.3170818203	0.885264342
493	0.316819564	0.8863892013
494	0.3166982942	0.8863892013
495	0.3166089228	0.8863892013
496	0.3165809284	0.8863892013
497	0.3162826746	0.8875140607
498	0.3162463378	0.8875140607
499	0.3161609312	0.8875140607
500	0.3159143849	0.8886389201
501	0.3158415541	0.8886389201
502	0.3158370565	0.8886389201
503	0.3157396414	0.8886389201
504	0.315562186	0.8886389201
505	0.3154159708	0.8886389201
506	0.315284555	0.8886389201
507	0.315097979	0.8886389201
508	0.3148383647	0.8908886389
509	0.3148350628	0.8908886389
510	0.3145980462	0.8897637795
511	0.3141634233	0.8897637795
512	0.31416342	0.8897637795
513	0.3141114386	0.8897637795
514	0.3140069805	0.8886389201
515	0.3139648979	0.8886389201
516	0.3135005794	0.8897637795
517	0.3134244423	0.8897637795
518	0.3134244403	0.8897637795
519	0.3131466104	0.8897637795
520	0.3131152605	0.8897637795
521	0.3130329127	0.8897637795
522	0.3128022952	0.8897637795
523	0.3126803367	0.8897637795
524	0.3124598293	0.8897637795
525	0.3124483068	0.8897637795
526	0.3122681593	0.8897637795
527	0.3121031865	0.8897637795
528	0.3120984818	0.8897637795
529	0.3120599044	0.8908886389
530	0.3120198314	0.8908886389
531	0.3118511279	0.8908886389
532	0.3116958727	0.8908886389
533	0.3116186169	0.8897637795
534	0.3115208509	0.8908886389
535	0.3112783853	0.8897637795
536	0.311132164	0.8897637795
537	0.310889452	0.8897637795
538	0.3108045997	0.8897637795
539	0.3106217372	0.8908886389
540	0.3106217191	0.8908886389
541	0.3105173559	0.8908886389
542	0.3104008584	0.8897637795
543	0.310300541	0.8908886389
544	0.3101336061	0.8908886389
545	0.3098823485	0.8908886389
546	0.3097545966	0.8920134983
547	0.3095248069	0.8920134983
548	0.3093980831	0.8920134983
549	0.3091671614	0.8920134983
550	0.3089434176	0.8920134983
551	0.3089149295	0.8920134983
552	0.3087923889	0.8920134983
553	0.3086572602	0.8920134983
554	0.308657259	0.8920134983
555	0.3084757775	0.8920134983
556	0.3082701873	0.8920134983
557	0.3081353715	0.8920134983
558	0.3080338668	0.8920134983
559	0.3078160931	0.8920134983
560	0.3077847114	0.8920134983
561	0.3075503163	0.8920134983
562	0.307419182	0.8920134983
563	0.3070787022	0.8931383577
564	0.3070541287	0.8931383577
565	0.3068660508	0.8931383577
566	0.3068270204	0.8931383577
567	0.3065096193	0.8931383577
568	0.3064442396	0.8931383577
569	0.3063137023	0.8931383577
570	0.3061950804	0.8942632171
571	0.3060812543	0.8942632171
572	0.3059585444	0.8953880765
573	0.3059515276	0.8953880765
574	0.3059086519	0.8942632171
575	0.3058868429	0.8942632171
576	0.3056889667	0.8942632171
577	0.3055978075	0.8942632171
578	0.3054256909	0.8953880765
579	0.3053534867	0.8953880765
580	0.3053399881	0.8953880765
581	0.305339969	0.8953880765
582	0.3052637706	0.8942632171
583	0.3050976186	0.8942632171
584	0.3050095102	0.8942632171
585	0.304884644	0.8942632171
586	0.304858594	0.8942632171
587	0.304718205	0.8942632171
588	0.3046406968	0.8942632171
589	0.3044830805	0.8942632171
590	0.3044130159	0.8942632171
591	0.3042842724	0.8953880765
592	0.3042807061	0.8942632171
593	0.3040399115	0.8953880765
594	0.3038772731	0.8953880765
595	0.3035651609	0.8953880765
596	0.3034235843	0.8965129359
597	0.3033407285	0.8965129359
598	0.3031209724	0.8965129359
599	0.3027885957	0.8965129359
600	0.3027885875	0.8965129359
601	0.3026863486	0.8965129359
602	0.3025204359	0.8965129359
603	0.3022843884	0.8965129359
604	0.3019981535	0.8965129359
605	0.3016520147	0.8965129359
606	0.301494857	0.8965129359
607	0.3013267766	0.8965129359
608	0.3011816211	0.8965129359
609	0.301066235	0.8965129359
610	0.3009740627	0.8965129359
611	0.3009616225	0.8965129359
612	0.3009407809	0.8965129359
613	0.3006891225	0.8965129359
614	0.3005790782	0.8965129359
615	0.3004994242	0.8965129359
616	0.3003721724	0.8965129359
617	0.3001218397	0.8965129359
618	0.2999813839	0.8965129359
619	0.2998816975	0.8965129359
620	0.2998547921	0.8965129359
621	0.2996693723	0.8965129359
622	0.2996199665	0.8965129359
623	0.2995604101	0.8965129359
624	0.2994770408	0.8965129359
625	0.2993202531	0.8965129359
626	0.2991888957	0.8965129359
627	0.299100831	0.8965129359
628	0.2989646942	0.8965129359
629	0.298723989	0.8965129359
630	0.2984916274	0.8965129359
631	0.2983159266	0.8965129359
632	0.2980637813	0.8965129359
633	0.2979734729	0.8965129359
634	0.2977235739	0.8965129359
635	0.2976018845	0.8965129359
636	0.2974816524	0.8965129359
637	0.2973686401	0.8965129359
638	0.2972761688	0.8965129359
639	0.297056505	0.8976377953
640	0.2968541381	0.8965129359
641	0.2967521297	0.8976377953
642	0.2966357959	0.8976377953
643	0.2963483786	0.8965129359
644	0.2961975167	0.8965129359
645	0.2960264215	0.8965129359
646	0.2958498848	0.8976377953
647	0.2957690071	0.8976377953
648	0.2957340817	0.8976377953
649	0.2955498603	0.8976377953
650	0.2954411624	0.8976377953
651	0.2952954287	0.8976377953
652	0.295291093	0.8976377953
653	0.295101136	0.8976377953
654	0.2948492011	0.8987626547
655	0.2945355507	0.8998875141
656	0.2943448882	0.8998875141
657	0.2942625446	0.8998875141
658	0.2939842997	0.8998875141
659	0.2936958954	0.8998875141
660	0.2935412818	0.8987626547
661	0.2935410528	0.8987626547
662	0.2935046117	0.8998875141
663	0.2933909555	0.8987626547
664	0.2933696379	0.8987626547
665	0.2933640509	0.8987626547
666	0.2933050092	0.8987626547
667	0.2931868387	0.9010123735
668	0.2930538923	0.8987626547
669	0.2927934012	0.8998875141
670	0.2926026209	0.8987626547
671	0.2922646959	0.8976377953
672	0.2921183799	0.8998875141
673	0.291943598	0.8998875141
674	0.2918224823	0.8998875141
675	0.2917754877	0.8998875141
676	0.2916204336	0.8998875141
677	0.291472372	0.8998875141
678	0.2912530845	0.8998875141
679	0.2910078081	0.9010123735
680	0.2909301406	0.9010123735
681	0.2907572999	0.8998875141
682	0.2906063416	0.8987626547
683	0.2903438145	0.8976377953
684	0.2902653627	0.8976377953
685	0.2901701082	0.8976377953
686	0.2899934411	0.8976377953
687	0.2899215815	0.8976377953
688	0.2897506063	0.8976377953
689	0.289702546	0.8976377953
690	0.2895499174	0.8976377953
691	0.289473662	0.8976377953
692	0.2893375916	0.8976377953
693	0.2892699886	0.8987626547
694	0.2891847839	0.8987626547
695	0.289057837	0.8998875141
696	0.2890516192	0.8998875141
697	0.2890205831	0.8998875141
698	0.2887228819	0.8998875141
699	0.288716972	0.8987626547
700	0.2886628141	0.9010123735
701	0.2885769084	0.8998875141
702	0.2883516632	0.9010123735
703	0.2883066876	0.9010123735
704	0.288142596	0.9010123735
705	0.2881352452	0.9010123735
706	0.2879881559	0.8998875141
707	0.2879195708	0.8998875141
708	0.2878724315	0.8998875141
709	0.2877940817	0.9010123735
710	0.2875328796	0.9010123735
711	0.2873911042	0.9010123735
712	0.2872529116	0.9010123735
713	0.2871295932	0.9010123735
714	0.2869015026	0.9010123735
715	0.2868332208	0.9010123735
716	0.2866213994	0.9010123735
717	0.2866177327	0.9010123735
718	0.2862766784	0.9010123735
719	0.2862585767	0.9010123735
720	0.2861806896	0.9010123735
721	0.2858949349	0.8998875141
722	0.285891436	0.8998875141
723	0.2856204279	0.8998875141
724	0.2855664439	0.8998875141
725	0.2853064228	0.8987626547
726	0.2851081939	0.9010123735
727	0.284940108	0.9010123735
728	0.2848093662	0.9010123735
729	0.284705777	0.8998875141
730	0.2847022225	0.8998875141
731	0.2846160845	0.9010123735
732	0.2845912435	0.9021372328
733	0.2844623257	0.9010123735
734	0.2843528084	0.9010123735
735	0.2842675147	0.8998875141
736	0.2842064619	0.8998875141
737	0.284053092	0.8998875141
738	0.283927887	0.8998875141
739	0.2837009489	0.9010123735
740	0.2835048777	0.9010123735
741	0.2833509922	0.9010123735
742	0.283294652	0.9010123735
743	0.2832553979	0.9010123735
744	0.2830500005	0.8998875141
745	0.28288264	0.8998875141
746	0.2828295198	0.8998875141
747	0.282642723	0.8998875141
748	0.2824353203	0.9010123735
749	0.2822340969	0.9010123735
750	0.2821350884	0.9010123735
751	0.2820451787	0.9010123735
752	0.2820255378	0.9010123735
753	0.2819896637	0.9010123735
754	0.2819614779	0.9010123735
755	0.281934193	0.9010123735
756	0.2817194882	0.9021372328
757	0.2816035592	0.9021372328
758	0.2814681786	0.9010123735
759	0.2811993415	0.9010123735
760	0.2810050055	0.9010123735
761	0.2809282722	0.9010123735
762	0.2808931821	0.9010123735
763	0.2807338291	0.9010123735
764	0.2807223219	0.9010123735
765	0.2805222844	0.9021372328
766	0.2805190774	0.9021372328
767	0.280393171	0.9010123735
768	0.2801695544	0.9010123735
769	0.2801658715	0.9010123735
770	0.2800685022	0.9010123735
771	0.2799540559	0.9010123735
772	0.2797288629	0.9021372328
773	0.2795602069	0.9021372328
774	0.2794890213	0.9021372328
775	0.2793078079	0.9021372328
776	0.2791891658	0.9021372328
777	0.2790269446	0.9021372328
778	0.2789810658	0.9021372328
779	0.278680415	0.9021372328
780	0.2784895145	0.9021372328
781	0.2784368594	0.9021372328
782	0.2781769192	0.9021372328
783	0.2779342751	0.9021372328
784	0.2777803006	0.9021372328
785	0.2776319219	0.9021372328
786	0.277529013	0.9021372328
787	0.277379479	0.9021372328
788	0.2773725765	0.9021372328
789	0.2772220526	0.9021372328
790	0.2771390936	0.9021372328
791	0.2771317932	0.9021372328
792	0.2770999119	0.9021372328
793	0.276854383	0.9021372328
794	0.2767165924	0.9021372328
795	0.2767042398	0.9021372328
796	0.2766476289	0.9021372328
797	0.2766269602	0.9032620922
798	0.2764303503	0.9032620922
799	0.2763767276	0.9032620922
800	0.2763000679	0.9032620922
801	0.2758979824	0.9021372328
802	0.2757923202	0.9021372328
803	0.275715608	0.9021372328
804	0.2756178367	0.9021372328
805	0.2756024367	0.9032620922
806	0.2755389909	0.9021372328
807	0.2754481346	0.9032620922
808	0.2752404648	0.9021372328
809	0.2751222888	0.9021372328
810	0.27498069	0.9021372328
811	0.2749002992	0.9021372328
812	0.274867477	0.9021372328
813	0.2747646391	0.9021372328
814	0.2747493877	0.9021372328
815	0.2746989113	0.9021372328
816	0.2745922474	0.9021372328
817	0.274265473	0.9032620922
818	0.2742179511	0.9032620922
819	0.2740382002	0.9032620922
820	0.273984239	0.9043869516
821	0.2738173706	0.9066366704
822	0.273721272	0.9066366704
823	0.2735483387	0.9066366704
824	0.2734600331	0.9066366704
825	0.2734267666	0.9066366704
826	0.273397409	0.9066366704
827	0.2733736009	0.9066366704
828	0.2732078148	0.9077615298
829	0.2731821594	0.9077615298
830	0.2729759308	0.9088863892
831	0.2729078301	0.9088863892
832	0.2728342004	0.9088863892
833	0.2726774707	0.9088863892
834	0.2725412902	0.9077615298
835	0.2724108091	0.9077615298
836	0.2722741951	0.9077615298
837	0.2722134187	0.9077615298
838	0.2720962296	0.9077615298
839	0.272074941	0.9077615298
840	0.2720239735	0.9088863892
841	0.2718631971	0.9088863892
842	0.2718221236	0.9088863892
843	0.2718086784	0.9088863892
844	0.2717168545	0.9088863892
845	0.2716851361	0.9088863892
846	0.2716585741	0.9088863892
847	0.2716175388	0.9088863892
848	0.2714666686	0.9088863892
849	0.2713835323	0.9088863892
850	0.2713446691	0.9088863892
851	0.2711750538	0.9077615298
852	0.2711528827	0.9077615298
853	0.2710615764	0.9077615298
854	0.2710209051	0.9077615298
855	0.2708352294	0.9077615298
856	0.2707177448	0.9077615298
857	0.2706546804	0.9088863892
858	0.2704351981	0.9100112486
859	0.2704130934	0.9100112486
860	0.2703942761	0.9100112486
861	0.2703807943	0.9100112486
862	0.2703057474	0.9100112486
863	0.2702658844	0.9100112486
864	0.270184807	0.9088863892
865	0.2701146861	0.9088863892
866	0.2700927915	0.9100112486
867	0.2699983681	0.9100112486
868	0.2698751475	0.9100112486
869	0.2698422625	0.9100112486
870	0.2697842322	0.9100112486
871	0.2697286735	0.9100112486
872	0.2696730571	0.9100112486
873	0.2695247496	0.9100112486
874	0.2694533245	0.9100112486
875	0.2692490493	0.9100112486
876	0.2691190961	0.9100112486
877	0.2690310329	0.9100112486
878	0.26897907	0.9100112486
879	0.2689656959	0.9100112486
880	0.2688810562	0.9100112486
881	0.2687620112	0.9100112486
882	0.2687163786	0.9100112486
883	0.2686596481	0.9100112486
884	0.2684651871	0.9088863892
885	0.2684342392	0.9088863892
